0.3	0.999699
0.6	0.995748
0.9	0.982906
1.2	0.961369
1.5	0.937433
1.8	0.917008
2.1	0.90246
2.4	0.893741
2.7	0.889937
3	0.890061
3.3	0.89329
3.6	0.899
3.9	0.906735
4.2	0.916171
4.5	0.927074
4.8	0.939284
5.1	0.952687
5.4	0.967208
5.7	0.982799
6	0.999433
6.3	1.0171
6.6	1.0358
6.9	1.05553
7.2	1.07632
7.5	1.09818
7.8	1.12113
8.1	1.14519
8.4	1.1704
8.7	1.19676
9	1.2243
9.3	1.25303
9.6	1.28296
9.9	1.31409
10.2	1.34643
10.5	1.37996
10.8	1.41467
11.1	1.45053
11.4	1.48751
11.7	1.52556
12	1.56465
12.3	1.60473
12.6	1.6457
12.9	1.68752
13.2	1.73011
13.5	1.7734
13.8	1.81731
14.1	1.86176
14.4	1.90667
14.7	1.95196
15	1.99757
15.3	2.04342
15.6	2.08945
15.9	2.1356
16.2	2.18181
16.5	2.22804
16.8	2.27425
17.1	2.32039
17.4	2.36645
17.7	2.41238
18	2.45819
18.3	2.50384
18.6	2.54932
18.9	2.59464
19.2	2.6398
19.5	2.68477
19.8	2.72956
20.1	2.77418
20.4	2.81862
20.7	2.86291
21	2.90703
21.3	2.951
21.6	2.99482
21.9	3.03851
22.2	3.08206
22.5	3.12549
22.8	3.16881
23.1	3.21201
23.4	3.25512
23.7	3.29813
24	3.34105
24.3	3.38389
24.6	3.42666
24.9	3.46935
25.2	3.51199
25.5	3.55456
25.8	3.59707
26.1	3.63954
26.4	3.68196
26.7	3.72433
27	3.76669
27.3	3.80899
27.6	3.85126
27.9	3.8935
28.2	3.93572
28.5	3.9779
28.8	4.02007
29.1	4.06221
29.4	4.10433
29.7	4.14644
